demand_node_index,truck_node_index,distance,scaled_demand
demand0,truck2,228.24125805598544,7
demand0,truck10,308.8932789096301,0
demand0,truck12,231.98561182628265,7
demand0,truck18,421.1161921725146,0
demand0,truck23,267.68266829616846,3
demand0,truck36,576.8418099894953,0
demand0,truck37,500.74446620775217,0
demand0,truck41,583.8268241365848,0
demand0,truck42,661.7069340263463,0
demand0,truck52,366.4744029347084,0
demand0,truck53,337.25591604200184,0
demand0,truck54,439.23259132803787,0
demand0,truck44,472.38760140714214,0
demand0,truck55,675.7706111597934,0
demand1,truck2,244.15930756330997,6
demand1,truck10,305.39953114618174,0
demand1,truck12,228.49186406283425,7
demand1,truck18,417.6224444090662,0
demand1,truck23,264.18892053272003,4
demand1,truck36,573.3480622260469,0
demand1,truck37,497.25071844430374,0
demand1,truck41,580.3330763731364,0
demand1,truck42,658.2131862628978,0
demand1,truck52,362.98065517125997,0
demand1,truck53,333.7621682785534,0
demand1,truck54,435.73884356458944,0
demand1,truck44,468.8938536436937,0
demand1,truck55,672.2768633963449,0
demand2,truck2,110.3793414895847,43
demand2,truck10,212.76620832221823,20
demand2,truck12,74.73390674302166,45
demand2,truck18,326.28375500150185,0
demand2,truck23,247.09606148653955,12
demand2,truck36,482.9837096927662,0
demand2,truck37,480.15785939812326,0
demand2,truck41,563.2402173269559,0
demand2,truck42,567.8488337296171,0
demand2,truck52,272.54559382820423,6
demand2,truck53,243.3271069354977,13
demand2,truck54,345.3037822215337,0
demand2,truck44,378.458792300638,0
demand2,truck55,581.8418020532891,0
demand11,truck2,246.234428119592,8
demand11,truck10,206.6606155435903,14
demand11,truck12,210.58899337302893,13
demand11,truck18,120.46627021482777,27
demand11,truck23,228.95340850177726,11
demand11,truck36,277.13499360447656,3
demand11,truck37,357.8787458582742,0
demand11,truck41,440.9611037871069,0
demand11,truck42,362.0001176413275,0
demand11,truck52,149.26205273274894,23
demand11,truck53,149.68702770771952,23
demand11,truck54,139.45506613324417,24
demand11,truck44,172.61007621234842,19
demand11,truck55,375.9930859649996,0
demand12,truck2,185.60221934271732,3
demand12,truck10,214.1168457822481,2
demand12,truck12,149.95678459615428,4
demand12,truck18,232.3172792051309,2
demand12,truck23,227.72338386867588,2
demand12,truck36,388.1136058318867,0
demand12,truck37,418.23565010537266,0
demand12,truck41,501.3180080342053,0
demand12,truck42,472.9787298687376,0
demand12,truck52,177.67548996732467,3
demand12,truck53,148.45700307461814,4
demand12,truck54,250.43367836065423,1
demand12,truck44,283.58868843975847,0
demand12,truck55,486.9716981924097,0
demand13,truck2,320.60253695489166,0
demand13,truck10,187.11340604062448,6
demand13,truck12,284.9571022083286,1
demand13,truck18,142.64652170072986,8
demand13,truck23,276.80754018504973,1
demand13,truck36,299.31524509037865,0
demand13,truck37,380.0589973441763,0
demand13,truck41,463.14135527300897,0
demand13,truck42,384.1803691272296,0
demand13,truck52,171.44230421865103,6
demand13,truck53,197.54115939099202,5
demand13,truck54,161.63531761914626,7
demand13,truck44,194.7903276982505,5
demand13,truck55,398.17333745090167,0
demand14,truck2,191.2850481354415,11
demand14,truck10,219.7996745749723,8
demand14,truck12,155.63961338887844,14
demand14,truck18,215.42809772035454,8
demand14,truck23,210.83420238389957,9
demand14,truck36,371.22442434711036,0
demand14,truck37,401.3464686205964,0
demand14,truck41,484.42882654942906,0
demand14,truck42,456.0895483839613,0
demand14,truck52,160.78630848254835,14
demand14,truck53,131.56782158984183,17
demand14,truck54,233.5444968758779,7
demand14,truck44,266.69950695498216,3
demand14,truck55,470.0825167076334,0
demand15,truck2,212.1068867209804,7
demand15,truck10,253.36911905776486,3
demand15,truck12,176.46145197441737,9
demand15,truck18,320.700764174338,0
demand15,truck23,167.2672402979919,10
demand15,truck36,476.4263819913187,0
demand15,truck37,400.3290382095756,0
demand15,truck41,483.4113961384083,0
demand15,truck42,561.2915060281696,0
demand15,truck52,266.05897493653185,3
demand15,truck53,236.8404880438253,5
demand15,truck54,338.81716332986133,0
demand15,truck44,371.9721734089656,0
demand15,truck55,575.3551831616168,0
demand16,truck2,294.7291004711801,1
demand16,truck10,335.99133280796457,0
demand16,truck12,259.0836657246171,10
demand16,truck18,296.2501228088648,1
demand16,truck23,142.81659893251864,39
demand16,truck36,451.97574062584545,0
demand16,truck37,375.8783968441023,0
demand16,truck41,458.960754772935,0
demand16,truck42,536.8408646626963,0
demand16,truck52,241.60833357105858,15
demand16,truck53,212.38984667835206,22
demand16,truck54,314.3665219643881,0
demand16,truck44,347.52153204349236,0
demand16,truck55,550.9045417961436,0
demand17,truck2,351.804233976004,0
demand17,truck10,393.0664663127884,0
demand17,truck12,316.15879922944094,0
demand17,truck18,353.3252563136886,0
demand17,truck23,112.76461203015802,9
demand17,truck36,421.9237537234849,0
demand17,truck37,345.82640994174176,0
demand17,truck41,428.9087678705744,0
demand17,truck42,506.7888777603358,0
demand17,truck52,211.8195688992485,4
demand17,truck53,182.601082006542,6
demand17,truck54,284.57775729257804,1
demand17,truck44,317.7327673716823,0
demand17,truck55,521.1157771243335,0
demand18,truck2,240.33272702421914,10
demand18,truck10,268.8473534637499,5
demand18,truck12,204.68729227765607,17
demand18,truck18,227.6456027428594,13
demand18,truck23,155.24739378315743,25
demand18,truck36,315.63761574636817,0
demand18,truck37,345.75966001985427,0
demand18,truck41,428.842017948687,0
demand18,truck42,400.5027397832191,0
demand18,truck52,105.19949988180623,34
demand18,truck53,75.9810129890997,35
demand18,truck54,177.95768827513578,21
demand18,truck44,211.11269835424002,16
demand18,truck55,414.4957081068912,0
demand20,truck2,271.59864891587665,6
demand20,truck10,291.87857175538977,2
demand20,truck12,235.95321416931358,14
demand20,truck18,205.68422642662725,21
demand20,truck23,138.98464014513195,36
demand20,truck36,272.6615410524802,6
demand20,truck37,302.78358532596627,0
demand20,truck41,385.865943254799,0
demand20,truck42,357.5266650893311,0
demand20,truck52,62.22342518791825,45
demand20,truck53,59.7182593510742,45
demand20,truck54,134.98161358124779,37
demand20,truck44,168.13662366035203,30
demand20,truck55,371.5196334130032,0
demand21,truck2,320.9879349114897,0
