index,name,x,y,demand
demand0,Pipe Benders,95.67096378146103,83.52921535893155,30
demand1,Traveling Salesperson Agency,126.11172498465316,89.42904841402338,60
demand2,ReLU Realty,190.72068753836712,72.661101836394,10
demand9,Lift and Project Gym,454.7476979742173,181.03171953255426,55
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,10
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,30
demand13,Linear Regression Psychology Services,315.2793124616329,163.64273789649417,25
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,15
demand15,MILP Mart,176.7427869858809,186.93155258764608,10
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,75
demand17,Multimodal Distribution Center,68.02578268876611,229.7829716193656,35
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,70
demand20,Complex Complex,239.48802946593003,246.86143572621037,45
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,55
demand23,Anna Konda's Pet Shop,395.4192756292204,220.77796327212022,35
demand24,Presolve: Prenuptial Agreements,429.2768569674647,244.68781302170285,65
demand25,Fourier Transform Towers,460.96009821976673,302.13355592654426,25
demand26,Nonlinear Thinking Center,356.2811540822591,317.0383973288815,35
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,35
demand29,IIS Tower,113.68692449355433,291.8864774624374,75
demand31,Edgeworth's Newsvendors,72.68508287292818,359.889816360601,40
demand34,Scheduling Station,359.3873542050338,363.9265442404007,60
demand35,Elastic Net Fishing Supplies,437.66359729895646,354.61101836393993,15
demand37,Numerical Issues Zoo,315.90055248618785,445.28213689482476,15
demand38,Multi-Threads Thrift Store,416.23081645181094,442.7979966611019,40
demand40,Land & Harcourt's B&B,375.2289748311848,491.23873121869786,50
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,75
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,30
demand47,Logistic Regression Couriers,375.2289748311848,397.46243739565944,20
demand48,Cutting Plane Woodworks,392.0024554941682,256.17696160267116,60
demand49,Big-M Market,241.9729895641498,421.68280467445743,50
demand51,Farkas' Lemma-nade,391.38121546961327,186,20
demand53,Gu Library,278.62615101289134,105.57595993322204,35
